
,107
2017,3
年,6
中央政府,1
工作,27
报告,2
李克强,1
：,2
各位,8
代表,9
，,738
现在,2
我,2
国务院,8
向,16
大会,1
政府,35
请予,1
审议,2
并,4
请,1
全国政协,1
委员,1
提出,1
意见,4
。,543
一,8
、,350
2016,1
回顾,1
过去,4
一年,10
我国,14
发展,115
面临,2
国内外,3
诸多矛盾,1
叠加,2
风险,10
隐患,3
交汇,1
的,197
严峻,3
挑战,3
在,48
以,34
习近平,8
同志,5
为,31
核心,11
党中央,8
坚强,2
领导,5
下,7
全国,9
各族人民,4
迎难而上,1
砥砺,1
前行,1
推动,40
经济社会,9
持续,17
健康,9
党,6
十八,3
届,2
六中全会,2
正式,2
明确,3
总书记,2
地位,4
体现,3
了,16
党和人民,1
根本利益,2
对,26
保证,1
党和国家,2
兴旺发达,1
长治久安,1
具有,4
十分,2
重大,10
而,2
深远,1
意义,1
各,11
地区,21
部门,7
不断,10
增强,12
政治,4
意识,4
大局意识,1
看齐,1
全面,35
建成,4
小康社会,4
取得,11
新,35
重要,11
进展,3
深化改革,4
迈出,3
步伐,3
依法治国,2
深入,24
实施,30
从严治党,2
纵深,1
推进,63
全年,7
主要,9
目标,12
任务,6
圆满完成,1
“,63
十三,3
五,4
”,63
实现,17
良好,2
开局,1
—,14
经济运行,4
缓中,1
趋稳,1
稳中,2
好,22
国内,13
生产总值,6
达到,1
74.4,1
万亿元,5
增长,25
6.7%,1
名列,1
世界,10
前茅,1
全球,8
经济,51
贡献率,2
超过,9
30%,2
居民消费,2
价格上涨,1
2%,2
工业,5
企业,35
利润,1
由,6
上年,1
下降,12
2.3%,1
转为,1
8.5%,1
单位,3
能耗,3
5%,2
质量,10
和,176
效益,3
明显提高,1
就业,31
超出,1
预期,8
城镇,8
新增,7
1314,1
万人,7
高校,6
毕业生,3
创业,12
人数,2
再创新高,1
年末,1
登记,4
失业率,2
4.02%,1
多年,1
来,5
最低,2
13,4
亿多,1
人口,3
中,18
大国,5
比较,2
充分,3
不易,1
改革开放,2
领域,16
关键环节,2
改革,66
突破性,1
供给,11
侧,7
结构性,6
初见成效,1
对外开放,6
推出,2
新举措,2
一带,5
一路,5
建设,51
快速,2
一批,10
工程,4
国际,14
产能,15
合作项目,1
落地,1
结构,14
加快调整,1
消费,16
发挥,8
拉动,2
作用,12
服务业,4
增加值,1
占,2
比重,3
上升,2
到,10
51.6%,1
高技术,1
产业,9
装备,4
制造业,4
较,8
快,2
农业,12
调优,1
粮食,4
再,9
获,1
丰收,1
动能,8
创新,35
驱动,3
战略,12
科技领域,1
领先,1
重大成果,1
新兴产业,5
蓬勃,1
兴起,1
传统产业,4
加快,41
转型,6
升级,12
大众,3
